# Miriade.ephemcc.results
# Request:
# targetType: Comet, targetName: 1P, targetOtherName: P/Halley, Diameter: 0.00 km, Orbital period: 2.77572892E+04 d, Time of perihelion passage: 2446470.95892940 d, Dynamical class: Short-period>Halley-type, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter
# Nb rows: 2190
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H
1P,   1900-01-01T00:00:00.00, 113 51  9.5093, -14 45 27.1513,   21.731191474,   5.40
1P,   1900-01-21T00:00:00.00, 113 48 23.3347, -14 44 59.5229,   21.668340107,   5.40
1P,   1900-02-10T00:00:00.00, 113 45 36.1743, -14 44 31.6949,   21.605252253,   5.40
1P,   1900-03-02T00:00:00.00, 113 42 48.0158, -14 44  3.6652,   21.541926421,   5.40
1P,   1900-03-22T00:00:00.00, 113 39 58.8450, -14 43 35.4318,   21.478361034,   5.40
1P,   1900-04-11T00:00:00.00, 113 37  8.6445, -14 43  6.9920,   21.414554831,   5.40
1P,   1900-05-01T00:00:00.00, 113 34 17.3989, -14 42 38.3419,   21.350506816,   5.40
1P,   1900-05-21T00:00:00.00, 113 31 25.0948, -14 42  9.4773,   21.286216031,   5.40
1P,   1900-06-10T00:00:00.00, 113 28 31.7208, -14 41 40.3944,   21.221681415,   5.40
1P,   1900-06-30T00:00:00.00, 113 25 37.2644, -14 41 11.0894,   21.156901820,   5.40
1P,   1900-07-20T00:00:00.00, 113 22 41.7153, -14 40 41.5579,   21.091876185,   5.40
1P,   1900-08-09T00:00:00.00, 113 19 45.0649, -14 40 11.7961,   21.026603188,   5.40
1P,   1900-08-29T00:00:00.00, 113 16 47.3047, -14 39 41.8009,   20.961081215,   5.40
1P,   1900-09-18T00:00:00.00, 113 13 48.4233, -14 39 11.5703,   20.895308334,   5.40
1P,   1900-10-08T00:00:00.00, 113 10 48.4057, -14 38 41.1017,   20.829282768,   5.40
1P,   1900-10-28T00:00:00.00, 113  7 47.2370, -14 38 10.3922,   20.763002766,   5.40
1P,   1900-11-17T00:00:00.00, 113  4 44.9007, -14 37 39.4389,   20.696466596,   5.40
1P,   1900-12-07T00:00:00.00, 113  1 41.3795, -14 37  8.2387,   20.629672509,   5.40
1P,   1900-12-27T00:00:00.00, 112 58 36.6531, -14 36 36.7881,   20.562618993,   5.40
1P,   1901-01-16T00:00:00.00, 112 55 30.7040, -14 36  5.0820,   20.495304807,   5.40
1P,   1901-02-05T00:00:00.00, 112 52 23.5166, -14 35 33.1155,   20.427728648,   5.40
1P,   1901-02-25T00:00:00.00, 112 49 15.0776, -14 35  0.8839,   20.359889037,   5.40
1P,   1901-03-17T00:00:00.00, 112 46  5.3714, -14 34 28.3834,   20.291784274,   5.40
1P,   1901-04-06T00:00:00.00, 112 42 54.3826, -14 33 55.6093,   20.223412776,   5.40
1P,   1901-04-26T00:00:00.00, 112 39 42.0965, -14 33 22.5574,   20.154772796,   5.40
1P,   1901-05-16T00:00:00.00, 112 36 28.4977, -14 32 49.2238,   20.085862424,   5.40
1P,   1901-06-05T00:00:00.00, 112 33 13.5682, -14 32 15.6052,   20.016679568,   5.40
1P,   1901-06-25T00:00:00.00, 112 29 57.2865, -14 31 41.6977,   19.947222375,   5.40
1P,   1901-07-15T00:00:00.00, 112 26 39.6322, -14 31  7.4961,   19.877489190,   5.40
1P,   1901-08-04T00:00:00.00, 112 23 20.5865, -14 30 32.9953,   19.807478373,   5.40
1P,   1901-08-24T00:00:00.00, 112 20  0.1315, -14 29 58.1900,   19.737188181,   5.40
1P,   1901-09-13T00:00:00.00, 112 16 38.2480, -14 29 23.0752,   19.666616814,   5.40
1P,   1901-10-03T00:00:00.00, 112 13 14.9185, -14 28 47.6449,   19.595762570,   5.40
1P,   1901-10-23T00:00:00.00, 112  9 50.1274, -14 28 11.8936,   19.524623496,   5.40
1P,   1901-11-12T00:00:00.00, 112  6 23.8588, -14 27 35.8167,   19.453197350,   5.40
1P,   1901-12-02T00:00:00.00, 112  2 56.0934, -14 26 59.4104,   19.381481580,   5.40
1P,   1901-12-22T00:00:00.00, 111 59 26.8080, -14 26 22.6704,   19.309473792,   5.40
1P,   1902-01-11T00:00:00.00, 111 55 55.9792, -14 25 45.5917,   19.237171615,   5.40
1P,   1902-01-31T00:00:00.00, 111 52 23.5817, -14 25  8.1695,   19.164572701,   5.40
1P,   1902-02-20T00:00:00.00, 111 48 49.5891, -14 24 30.3987,   19.091674698,   5.40
1P,   1902-03-12T00:00:00.00, 111 45 13.9715, -14 23 52.2735,   19.018475519,   5.40
1P,   1902-04-01T00:00:00.00, 111 41 36.7022, -14 23 13.7865,   18.944973360,   5.40
1P,   1902-04-21T00:00:00.00, 111 37 57.7574, -14 22 34.9300,   18.871166350,   5.40
1P,   1902-05-11T00:00:00.00, 111 34 17.1154, -14 21 55.6969,   18.797052414,   5.40
1P,   1902-05-31T00:00:00.00, 111 30 34.7528, -14 21 16.0807,   18.722629214,   5.40
1P,   1902-06-20T00:00:00.00, 111 26 50.6464, -14 20 36.0743,   18.647894466,   5.40
1P,   1902-07-10T00:00:00.00, 111 23  4.7738, -14 19 55.6709,   18.572845637,   5.40
1P,   1902-07-30T00:00:00.00, 111 19 17.1114, -14 19 14.8645,   18.497479949,   5.40
1P,   1902-08-19T00:00:00.00, 111 15 27.6320, -14 18 33.6497,   18.421794367,   5.40
1P,   1902-09-08T00:00:00.00, 111 11 36.3035, -14 17 52.0205,   18.345786041,   5.40
1P,   1902-09-28T00:00:00.00, 111  7 43.0944, -14 17  9.9696,   18.269452275,   5.40
1P,   1902-10-18T00:00:00.00, 111  3 47.9727, -14 16 27.4895,   18.192790385,   5.40
1P,   1902-11-07T00:00:00.00, 110 59 50.9067, -14 15 44.5728,   18.115797618,   5.40
1P,   1902-11-27T00:00:00.00, 110 55 51.8623, -14 15  1.2115,   18.038471228,   5.40
1P,   1902-12-17T00:00:00.00, 110 51 50.8067, -14 14 17.3966,   17.960808627,   5.40
1P,   1903-01-06T00:00:00.00, 110 47 47.7093, -14 13 33.1192,   17.882807023,   5.40
1P,   1903-01-26T00:00:00.00, 110 43 42.5391, -14 12 48.3708,   17.804463374,   5.40
1P,   1903-02-15T00:00:00.00, 110 39 35.2619, -14 12  3.1441,   17.725774339,   5.40
1P,   1903-03-07T00:00:00.00, 110 35 25.8397, -14 11 17.4304,   17.646736722,   5.40
1P,   1903-03-27T00:00:00.00, 110 31 14.2349, -14 10 31.2211,   17.567347285,   5.40
1P,   1903-04-16T00:00:00.00, 110 27  0.4075, -14  9 44.5073,   17.487602734,   5.40
1P,   1903-05-06T00:00:00.00, 110 22 44.3158, -14  8 57.2802,   17.407499693,   5.40
1P,   1903-05-26T00:00:00.00, 110 18 25.9141, -14  8  9.5299,   17.327034989,   5.40
1P,   1903-06-15T00:00:00.00, 110 14  5.1588, -14  7 21.2449,   17.246205678,   5.40
1P,   1903-07-05T00:00:00.00, 110  9 42.0087, -14  6 32.4137,   17.165008716,   5.40
1P,   1903-07-25T00:00:00.00, 110  5 16.4243, -14  5 43.0246,   17.083440828,   5.40
1P,   1903-08-14T00:00:00.00, 110  0 48.3635, -14  4 53.0668,   17.001498456,   5.40
1P,   1903-09-03T00:00:00.00, 109 56 17.7836, -14  4  2.5285,   16.919178061,   5.40
1P,   1903-09-23T00:00:00.00, 109 51 44.6425, -14  3 11.3982,   16.836475807,   5.40
1P,   1903-10-13T00:00:00.00, 109 47  8.8954, -14  2 19.6651,   16.753387566,   5.40
1P,   1903-11-02T00:00:00.00, 109 42 30.4927, -14  1 27.3189,   16.669908905,   5.40
1P,   1903-11-22T00:00:00.00, 109 37 49.3782, -14  0 34.3487,   16.586035554,   5.40
1P,   1903-12-12T00:00:00.00, 109 33  5.4944, -13 59 40.7418,   16.501763375,   5.40
1P,   1904-01-01T00:00:00.00, 109 28 18.7824, -13 58 46.4852,   16.417088260,   5.40
1P,   1904-01-21T00:00:00.00, 109 23 29.1818, -13 57 51.5651,   16.332006071,   5.40
1P,   1904-02-10T00:00:00.00, 109 18 36.6290, -13 56 55.9673,   16.246512737,   5.40
1P,   1904-03-01T00:00:00.00, 109 13 41.0620, -13 55 59.6752,   16.160604376,   5.40
1P,   1904-03-21T00:00:00.00, 109  8 42.4210, -13 55  2.6725,   16.074276899,   5.40
1P,   1904-04-10T00:00:00.00, 109  3 40.6463, -13 54  4.9430,   15.987525919,   5.40
1P,   1904-04-30T00:00:00.00, 108 58 35.6743, -13 53  6.4713,   15.900346675,   5.40
1P,   1904-05-20T00:00:00.00, 108 53 27.4373, -13 52  7.2409,   15.812734448,   5.40
1P,   1904-06-09T00:00:00.00, 108 48 15.8667, -13 51  7.2348,   15.724684341,   5.40
1P,   1904-06-29T00:00:00.00, 108 43  0.8905, -13 50  6.4362,   15.636191278,   5.40
1P,   1904-07-19T00:00:00.00, 108 37 42.4323, -13 49  4.8281,   15.547249990,   5.40
1P,   1904-08-08T00:00:00.00, 108 32 20.4091, -13 48  2.3920,   15.457855343,   5.40
1P,   1904-08-28T00:00:00.00, 108 26 54.7380, -13 46 59.1078,   15.368002378,   5.40
1P,   1904-09-17T00:00:00.00, 108 21 25.3366, -13 45 54.9541,   15.277686012,   5.40
1P,   1904-10-07T00:00:00.00, 108 15 52.1217, -13 44 49.9095,   15.186900923,   5.40
1P,   1904-10-27T00:00:00.00, 108 10 15.0058, -13 43 43.9526,   15.095641513,   5.40
1P,   1904-11-16T00:00:00.00, 108  4 33.8992, -13 42 37.0604,   15.003902190,   5.40
1P,   1904-12-06T00:00:00.00, 107 58 48.7109, -13 41 29.2096,   14.911677038,   5.40
1P,   1904-12-26T00:00:00.00, 107 52 59.3455, -13 40 20.3768,   14.818959824,   5.40
1P,   1905-01-15T00:00:00.00, 107 47  5.7007, -13 39 10.5393,   14.725743973,   5.40
1P,   1905-02-04T00:00:00.00, 107 41  7.6647, -13 37 59.6721,   14.632023037,   5.40
1P,   1905-02-24T00:00:00.00, 107 35  5.1233, -13 36 47.7485,   14.537790625,   5.40
1P,   1905-03-16T00:00:00.00, 107 28 57.9582, -13 35 34.7406,   14.443040310,   5.40
1P,   1905-04-05T00:00:00.00, 107 22 46.0478, -13 34 20.6191,   14.347765559,   5.40
1P,   1905-04-25T00:00:00.00, 107 16 29.2644, -13 33  5.3531,   14.251959841,   5.40
1P,   1905-05-15T00:00:00.00, 107 10  7.4805, -13 31 48.9091,   14.155616721,   5.40
1P,   1905-06-04T00:00:00.00, 107  3 40.5685, -13 30 31.2527,   14.058729446,   5.40
1P,   1905-06-24T00:00:00.00, 106 57  8.3988, -13 29 12.3490,   13.961290841,   5.40
1P,   1905-07-14T00:00:00.00, 106 50 30.8343, -13 27 52.1632,   13.863293236,   5.40
1P,   1905-08-03T00:00:00.00, 106 43 47.7304, -13 26 30.6586,   13.764728854,   5.40
1P,   1905-08-23T00:00:00.00, 106 36 58.9379, -13 25  7.7973,   13.665589589,   5.40
1P,   1905-09-12T00:00:00.00, 106 30  4.2996, -13 23 43.5406,   13.565867001,   5.40
1P,   1905-10-02T00:00:00.00, 106 23  3.6483, -13 22 17.8488,   13.465552317,   5.40
1P,   1905-10-22T00:00:00.00, 106 15 56.8040, -13 20 50.6796,   13.364636792,   5.40
1P,   1905-11-11T00:00:00.00, 106  8 43.5820, -13 19 21.9870,   13.263111760,   5.40
1P,   1905-12-01T00:00:00.00, 106  1 23.7919, -13 17 51.7229,   13.160968364,   5.40
1P,   1905-12-21T00:00:00.00, 105 53 57.2378, -13 16 19.8371,   13.058197459,   5.40
1P,   1906-01-10T00:00:00.00, 105 46 23.7135, -13 14 46.2774,   12.954789579,   5.40
1P,   1906-01-30T00:00:00.00, 105 38 43.0062, -13 13 10.9881,   12.850735186,   5.40
1P,   1906-02-19T00:00:00.00, 105 30 54.8969, -13 11 33.9114,   12.746024293,   5.40
1P,   1906-03-11T00:00:00.00, 105 22 59.1573, -13  9 54.9876,   12.640646430,   5.40
1P,   1906-03-31T00:00:00.00, 105 14 55.5452, -13  8 14.1558,   12.534590585,   5.40
1P,   1906-04-20T00:00:00.00, 105  6 43.8024, -13  6 31.3509,   12.427845634,   5.40
1P,   1906-05-10T00:00:00.00, 104 58 23.6603, -13  4 46.5041,   12.320400227,   5.40
1P,   1906-05-30T00:00:00.00, 104 49 54.8376, -13  2 59.5429,   12.212242700,   5.40
1P,   1906-06-19T00:00:00.00, 104 41 17.0400, -13  1 10.3915,   12.103361013,   5.40
1P,   1906-07-09T00:00:00.00, 104 32 29.9558, -12 59 18.9696,   11.993742900,   5.40
1P,   1906-07-29T00:00:00.00, 104 23 33.2637, -12 57 25.1906,   11.883375948,   5.40
1P,   1906-08-18T00:00:00.00, 104 14 26.6313, -12 55 28.9641,   11.772247174,   5.40
1P,   1906-09-07T00:00:00.00, 104  5  9.7122, -12 53 30.1958,   11.660342916,   5.40
