# Miriade.ephemcc.results
# Request:
# targetType: Planet, targetNumber: 8, targetName: Neptune, Diameter: 49244.00 km, Orbital period: 6.01823000E+04 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter
# Nb rows: 3650
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H
Neptune,   2009-01-01T00:00:00.00, 323 33 25.6070, -00 21 40.8937,   30.033968595,  -6.87
Neptune,   2009-01-02T00:00:00.00, 323 33 47.2226, -00 21 41.5471,   30.033944005,  -6.87
Neptune,   2009-01-03T00:00:00.00, 323 34  8.8382, -00 21 42.2005,   30.033919408,  -6.87
Neptune,   2009-01-04T00:00:00.00, 323 34 30.4539, -00 21 42.8539,   30.033894803,  -6.87
Neptune,   2009-01-05T00:00:00.00, 323 34 52.0696, -00 21 43.5072,   30.033870191,  -6.87
Neptune,   2009-01-06T00:00:00.00, 323 35 13.6854, -00 21 44.1606,   30.033845572,  -6.87
Neptune,   2009-01-07T00:00:00.00, 323 35 35.3012, -00 21 44.8139,   30.033820946,  -6.87
Neptune,   2009-01-08T00:00:00.00, 323 35 56.9171, -00 21 45.4673,   30.033796313,  -6.87
Neptune,   2009-01-09T00:00:00.00, 323 36 18.5330, -00 21 46.1206,   30.033771673,  -6.87
Neptune,   2009-01-10T00:00:00.00, 323 36 40.1490, -00 21 46.7739,   30.033747026,  -6.87
Neptune,   2009-01-11T00:00:00.00, 323 37  1.7650, -00 21 47.4271,   30.033722372,  -6.87
Neptune,   2009-01-12T00:00:00.00, 323 37 23.3811, -00 21 48.0804,   30.033697711,  -6.87
Neptune,   2009-01-13T00:00:00.00, 323 37 44.9972, -00 21 48.7337,   30.033673044,  -6.87
Neptune,   2009-01-14T00:00:00.00, 323 38  6.6134, -00 21 49.3869,   30.033648371,  -6.87
Neptune,   2009-01-15T00:00:00.00, 323 38 28.2296, -00 21 50.0401,   30.033623691,  -6.87
Neptune,   2009-01-16T00:00:00.00, 323 38 49.8458, -00 21 50.6934,   30.033599005,  -6.87
Neptune,   2009-01-17T00:00:00.00, 323 39 11.4621, -00 21 51.3466,   30.033574312,  -6.87
Neptune,   2009-01-18T00:00:00.00, 323 39 33.0785, -00 21 51.9998,   30.033549614,  -6.87
Neptune,   2009-01-19T00:00:00.00, 323 39 54.6949, -00 21 52.6529,   30.033524909,  -6.87
Neptune,   2009-01-20T00:00:00.00, 323 40 16.3114, -00 21 53.3061,   30.033500199,  -6.87
Neptune,   2009-01-21T00:00:00.00, 323 40 37.9279, -00 21 53.9593,   30.033475482,  -6.87
Neptune,   2009-01-22T00:00:00.00, 323 40 59.5445, -00 21 54.6124,   30.033450759,  -6.87
Neptune,   2009-01-23T00:00:00.00, 323 41 21.1611, -00 21 55.2655,   30.033426031,  -6.87
Neptune,   2009-01-24T00:00:00.00, 323 41 42.7778, -00 21 55.9186,   30.033401297,  -6.87
Neptune,   2009-01-25T00:00:00.00, 323 42  4.3945, -00 21 56.5717,   30.033376557,  -6.87
Neptune,   2009-01-26T00:00:00.00, 323 42 26.0113, -00 21 57.2248,   30.033351811,  -6.87
Neptune,   2009-01-27T00:00:00.00, 323 42 47.6281, -00 21 57.8779,   30.033327059,  -6.87
Neptune,   2009-01-28T00:00:00.00, 323 43  9.2450, -00 21 58.5310,   30.033302301,  -6.87
Neptune,   2009-01-29T00:00:00.00, 323 43 30.8619, -00 21 59.1840,   30.033277538,  -6.87
Neptune,   2009-01-30T00:00:00.00, 323 43 52.4789, -00 21 59.8370,   30.033252769,  -6.87
Neptune,   2009-01-31T00:00:00.00, 323 44 14.0960, -00 22  0.4901,   30.033227994,  -6.87
Neptune,   2009-02-01T00:00:00.00, 323 44 35.7131, -00 22  1.1431,   30.033203214,  -6.87
Neptune,   2009-02-02T00:00:00.00, 323 44 57.3303, -00 22  1.7961,   30.033178427,  -6.87
Neptune,   2009-02-03T00:00:00.00, 323 45 18.9475, -00 22  2.4490,   30.033153635,  -6.87
Neptune,   2009-02-04T00:00:00.00, 323 45 40.5648, -00 22  3.1020,   30.033128838,  -6.87
Neptune,   2009-02-05T00:00:00.00, 323 46  2.1821, -00 22  3.7550,   30.033104034,  -6.87
Neptune,   2009-02-06T00:00:00.00, 323 46 23.7995, -00 22  4.4079,   30.033079225,  -6.87
Neptune,   2009-02-07T00:00:00.00, 323 46 45.4170, -00 22  5.0608,   30.033054410,  -6.87
Neptune,   2009-02-08T00:00:00.00, 323 47  7.0345, -00 22  5.7138,   30.033029589,  -6.87
Neptune,   2009-02-09T00:00:00.00, 323 47 28.6521, -00 22  6.3667,   30.033004763,  -6.87
Neptune,   2009-02-10T00:00:00.00, 323 47 50.2697, -00 22  7.0195,   30.032979931,  -6.87
Neptune,   2009-02-11T00:00:00.00, 323 48 11.8874, -00 22  7.6724,   30.032955093,  -6.87
Neptune,   2009-02-12T00:00:00.00, 323 48 33.5051, -00 22  8.3253,   30.032930249,  -6.87
Neptune,   2009-02-13T00:00:00.00, 323 48 55.1229, -00 22  8.9781,   30.032905400,  -6.87
Neptune,   2009-02-14T00:00:00.00, 323 49 16.7408, -00 22  9.6310,   30.032880545,  -6.87
Neptune,   2009-02-15T00:00:00.00, 323 49 38.3587, -00 22 10.2838,   30.032855684,  -6.87
Neptune,   2009-02-16T00:00:00.00, 323 49 59.9767, -00 22 10.9366,   30.032830817,  -6.87
Neptune,   2009-02-17T00:00:00.00, 323 50 21.5948, -00 22 11.5894,   30.032805945,  -6.87
Neptune,   2009-02-18T00:00:00.00, 323 50 43.2129, -00 22 12.2422,   30.032781067,  -6.87
Neptune,   2009-02-19T00:00:00.00, 323 51  4.8310, -00 22 12.8950,   30.032756183,  -6.87
Neptune,   2009-02-20T00:00:00.00, 323 51 26.4493, -00 22 13.5477,   30.032731294,  -6.87
Neptune,   2009-02-21T00:00:00.00, 323 51 48.0676, -00 22 14.2005,   30.032706398,  -6.87
Neptune,   2009-02-22T00:00:00.00, 323 52  9.6859, -00 22 14.8532,   30.032681497,  -6.87
