# Miriade.ephemcc.results
# Request:
# targetType: Planet, targetNumber: 3, targetName: Earth, Diameter: 12756.27 km, Orbital period: 3.65256000E+02 d, Time_Scale: UTC, Planetary_Theory: INPOP13C, Coordinates: Ecliptic, frameType: Astrometric J2000, frameCentre: Heliocenter
# Nb rows: 365
Target, Date, Longitude ("d:m:s"), Latitude ("d:m:s"), Distance (au), H
Earth,   2019-01-01T00:00:00.00, 100  0  4.0968, -00  0  9.7049,    0.983311321,  -3.86
Earth,   2019-01-02T00:00:00.00, 101  1 14.2192, -00  0  9.6188,    0.983304198,  -3.86
Earth,   2019-01-03T00:00:00.00, 102  2 24.6191, -00  0  9.5025,    0.983301264,  -3.86
Earth,   2019-01-04T00:00:00.00, 103  3 35.2109, -00  0  9.3604,    0.983302369,  -3.86
Earth,   2019-01-05T00:00:00.00, 104  4 45.9059, -00  0  9.1975,    0.983307410,  -3.86
Earth,   2019-01-06T00:00:00.00, 105  5 56.6135, -00  0  9.0197,    0.983316330,  -3.86
Earth,   2019-01-07T00:00:00.00, 106  7  7.2436, -00  0  8.8330,    0.983329117,  -3.86
Earth,   2019-01-08T00:00:00.00, 107  8 17.7076, -00  0  8.6434,    0.983345799,  -3.86
Earth,   2019-01-09T00:00:00.00, 108  9 27.9199, -00  0  8.4569,    0.983366441,  -3.86
Earth,   2019-01-10T00:00:00.00, 109 10 37.7987, -00  0  8.2793,    0.983391140,  -3.86
Earth,   2019-01-11T00:00:00.00, 110 11 47.2669, -00  0  8.1158,    0.983420025,  -3.86
Earth,   2019-01-12T00:00:00.00, 111 12 56.2521, -00  0  7.9709,    0.983453249,  -3.86
Earth,   2019-01-13T00:00:00.00, 112 14  4.6879, -00  0  7.8486,    0.983490992,  -3.86
Earth,   2019-01-14T00:00:00.00, 113 15 12.5139, -00  0  7.7520,    0.983533457,  -3.86
Earth,   2019-01-15T00:00:00.00, 114 16 19.6773, -00  0  7.6832,    0.983580872,  -3.86
Earth,   2019-01-16T00:00:00.00, 115 17 26.1344, -00  0  7.6430,    0.983633489,  -3.86
Earth,   2019-01-17T00:00:00.00, 116 18 31.8531, -00  0  7.6308,    0.983691578,  -3.86
Earth,   2019-01-18T00:00:00.00, 117 19 36.8157, -00  0  7.6442,    0.983755419,  -3.86
Earth,   2019-01-19T00:00:00.00, 118 20 41.0210, -00  0  7.6789,    0.983825283,  -3.86
Earth,   2019-01-20T00:00:00.00, 119 21 44.4863, -00  0  7.7283,    0.983901406,  -3.86
Earth,   2019-01-21T00:00:00.00, 120 22 47.2452, -00  0  7.7842,    0.983983954,  -3.86
Earth,   2019-01-22T00:00:00.00, 121 23 49.3436, -00  0  7.8372,    0.984072995,  -3.86
Earth,   2019-01-23T00:00:00.00, 122 24 50.8313, -00  0  7.8775,    0.984168479,  -3.86
Earth,   2019-01-24T00:00:00.00, 123 25 51.7527, -00  0  7.8965,    0.984270237,  -3.86
Earth,   2019-01-25T00:00:00.00, 124 26 52.1395, -00  0  7.8870,    0.984378002,  -3.86
Earth,   2019-01-26T00:00:00.00, 125 27 52.0050, -00  0  7.8444,    0.984491440,  -3.86
Earth,   2019-01-27T00:00:00.00, 126 28 51.3434, -00  0  7.7663,    0.984610188,  -3.86
Earth,   2019-01-28T00:00:00.00, 127 29 50.1307, -00  0  7.6528,    0.984733880,  -3.86
Earth,   2019-01-29T00:00:00.00, 128 30 48.3281, -00  0  7.5055,    0.984862168,  -3.86
Earth,   2019-01-30T00:00:00.00, 129 31 45.8844, -00  0  7.3276,    0.984994732,  -3.86
Earth,   2019-01-31T00:00:00.00, 130 32 42.7395, -00  0  7.1234,    0.985131288,  -3.86
Earth,   2019-02-01T00:00:00.00, 131 33 38.8263, -00  0  6.8981,    0.985271588,  -3.86
Earth,   2019-02-02T00:00:00.00, 132 34 34.0722, -00  0  6.6572,    0.985415420,  -3.86
Earth,   2019-02-03T00:00:00.00, 133 35 28.4013, -00  0  6.4067,    0.985562610,  -3.86
Earth,   2019-02-04T00:00:00.00, 134 36 21.7346, -00  0  6.1526,    0.985713023,  -3.86
Earth,   2019-02-05T00:00:00.00, 135 37 13.9920, -00  0  5.9009,    0.985866559,  -3.86
Earth,   2019-02-06T00:00:00.00, 136 38  5.0930, -00  0  5.6573,    0.986023158,  -3.86
Earth,   2019-02-07T00:00:00.00, 137 38 54.9580, -00  0  5.4272,    0.986182795,  -3.86
Earth,   2019-02-08T00:00:00.00, 138 39 43.5092, -00  0  5.2153,    0.986345483,  -3.86
Earth,   2019-02-09T00:00:00.00, 139 40 30.6717, -00  0  5.0255,    0.986511270,  -3.86
Earth,   2019-02-10T00:00:00.00, 140 41 16.3747, -00  0  4.8610,    0.986680240,  -3.86
Earth,   2019-02-11T00:00:00.00, 141 42  0.5520, -00  0  4.7239,    0.986852510,  -3.86
Earth,   2019-02-12T00:00:00.00, 142 42 43.1438, -00  0  4.6152,    0.987028230,  -3.86
Earth,   2019-02-13T00:00:00.00, 143 43 24.0977, -00  0  4.5346,    0.987207585,  -3.86
Earth,   2019-02-14T00:00:00.00, 144 44  3.3712, -00  0  4.4803,    0.987390791,  -3.86
Earth,   2019-02-15T00:00:00.00, 145 44 40.9342, -00  0  4.4488,    0.987578094,  -3.86
Earth,   2019-02-16T00:00:00.00, 146 45 16.7722, -00  0  4.4350,    0.987769755,  -3.86
Earth,   2019-02-17T00:00:00.00, 147 45 50.8891, -00  0  4.4319,    0.987966032,  -3.86
Earth,   2019-02-18T00:00:00.00, 148 46 23.3087, -00  0  4.4310,    0.988167153,  -3.86
Earth,   2019-02-19T00:00:00.00, 149 46 54.0734, -00  0  4.4232,    0.988373283,  -3.86
Earth,   2019-02-20T00:00:00.00, 150 47 23.2398, -00  0  4.3992,    0.988584484,  -3.86
Earth,   2019-02-21T00:00:00.00, 151 47 50.8702, -00  0  4.3510,    0.988800702,  -3.86
Earth,   2019-02-22T00:00:00.00, 152 48 17.0234, -00  0  4.2723,    0.989021762,  -3.86
Earth,   2019-02-23T00:00:00.00, 153 48 41.7464, -00  0  4.1599,    0.989247391,  -3.86
Earth,   2019-02-24T00:00:00.00, 154 49  5.0698, -00  0  4.0125,    0.989477244,  -3.86
Earth,   2019-02-25T00:00:00.00, 155 49 27.0060, -00  0  3.8317,    0.989710946,  -3.86
Earth,   2019-02-26T00:00:00.00, 156 49 47.5509, -00  0  3.6205,    0.989948113,  -3.86
Earth,   2019-02-27T00:00:00.00, 157 50  6.6860, -00  0  3.3832,    0.990188376,  -3.86
Earth,   2019-02-28T00:00:00.00, 158 50 24.3818, -00  0  3.1251,    0.990431388,  -3.86
Earth,   2019-03-01T00:00:00.00, 159 50 40.6003, -00  0  2.8518,    0.990676829,  -3.86
Earth,   2019-03-02T00:00:00.00, 160 50 55.2965, -00  0  2.5692,    0.990924411,  -3.86
Earth,   2019-03-03T00:00:00.00, 161 51  8.4202, -00  0  2.2833,    0.991173872,  -3.86
Earth,   2019-03-04T00:00:00.00, 162 51 19.9165, -00  0  1.9999,    0.991424979,  -3.86
Earth,   2019-03-05T00:00:00.00, 163 51 29.7270, -00  0  1.7246,    0.991677533,  -3.86
Earth,   2019-03-06T00:00:00.00, 164 51 37.7899, -00  0  1.4628,    0.991931365,  -3.86
Earth,   2019-03-07T00:00:00.00, 165 51 44.0414, -00  0  1.2192,    0.992186342,  -3.86
Earth,   2019-03-08T00:00:00.00, 166 51 48.4162, -00  0  0.9977,    0.992442368,  -3.86
Earth,   2019-03-09T00:00:00.00, 167 51 50.8487, -00  0  0.8015,    0.992699389,  -3.86
Earth,   2019-03-10T00:00:00.00, 168 51 51.2749, -00  0  0.6328,    0.992957393,  -3.86
Earth,   2019-03-11T00:00:00.00, 169 51 49.6331, -00  0  0.4926,    0.993216411,  -3.86
Earth,   2019-03-12T00:00:00.00, 170 51 45.8659, -00  0  0.3805,    0.993476518,  -3.86
Earth,   2019-03-13T00:00:00.00, 171 51 39.9223, -00  0  0.2948,    0.993737835,  -3.86
Earth,   2019-03-14T00:00:00.00, 172 51 31.7591, -00  0  0.2326,    0.994000523,  -3.86
Earth,   2019-03-15T00:00:00.00, 173 51 21.3443, -00  0  0.1892,    0.994264786,  -3.86
Earth,   2019-03-16T00:00:00.00, 174 51  8.6590, -00  0  0.1585,    0.994530856,  -3.86
Earth,   2019-03-17T00:00:00.00, 175 50 53.7013, -00  0  0.1333,    0.994798988,  -3.86
Earth,   2019-03-18T00:00:00.00, 176 50 36.4882, -00  0  0.1054,    0.995069435,  -3.86
Earth,   2019-03-19T00:00:00.00, 177 50 17.0569, -00  0  0.0661,    0.995342420,  -3.86
Earth,   2019-03-20T00:00:00.00, 178 49 55.4634, -00  0  0.0076,    0.995618104,  -3.86
Earth,   2019-03-21T00:00:00.00, 179 49 31.7775, +00  0  0.0771,    0.995896555,  -3.86
Earth,   2019-03-22T00:00:00.00, 180 49  6.0754, +00  0  0.1925,    0.996177729,  -3.86
Earth,   2019-03-23T00:00:00.00, 181 48 38.4313, +00  0  0.3408,    0.996461473,  -3.86
Earth,   2019-03-24T00:00:00.00, 182 48  8.9100, +00  0  0.5215,    0.996747538,  -3.86
Earth,   2019-03-25T00:00:00.00, 183 47 37.5625, +00  0  0.7322,    0.997035606,  -3.86
Earth,   2019-03-26T00:00:00.00, 184 47  4.4239, +00  0  0.9684,    0.997325324,  -3.86
Earth,   2019-03-27T00:00:00.00, 185 46 29.5148, +00  0  1.2252,    0.997616324,  -3.86
Earth,   2019-03-28T00:00:00.00, 186 45 52.8428, +00  0  1.4965,    0.997908242,  -3.86
Earth,   2019-03-29T00:00:00.00, 187 45 14.4049, +00  0  1.7764,    0.998200729,  -3.86
Earth,   2019-03-30T00:00:00.00, 188 44 34.1900, +00  0  2.0588,    0.998493455,  -3.86
Earth,   2019-03-31T00:00:00.00, 189 43 52.1796, +00  0  2.3379,    0.998786107,  -3.86
Earth,   2019-04-01T00:00:00.00, 190 43  8.3494, +00  0  2.6081,    0.999078397,  -3.86
Earth,   2019-04-02T00:00:00.00, 191 42 22.6696, +00  0  2.8643,    0.999370056,  -3.86
Earth,   2019-04-03T00:00:00.00, 192 41 35.1051, +00  0  3.1019,    0.999660840,  -3.86
Earth,   2019-04-04T00:00:00.00, 193 40 45.6158, +00  0  3.3168,    0.999950532,  -3.86
Earth,   2019-04-05T00:00:00.00, 194 39 54.1570, +00  0  3.5060,    1.000238949,  -3.86
Earth,   2019-04-06T00:00:00.00, 195 39  0.6804, +00  0  3.6670,    1.000525946,  -3.86
Earth,   2019-04-07T00:00:00.00, 196 38  5.1350, +00  0  3.7991,    1.000811422,  -3.86
Earth,   2019-04-08T00:00:00.00, 197 37  7.4690, +00  0  3.9023,    1.001095327,  -3.86
Earth,   2019-04-09T00:00:00.00, 198 36  7.6319, +00  0  3.9785,    1.001377669,  -3.86
Earth,   2019-04-10T00:00:00.00, 199 35  5.5770, +00  0  4.0306,    1.001658507,  -3.86
Earth,   2019-04-11T00:00:00.00, 200 34  1.2641, +00  0  4.0633,    1.001937960,  -3.86
Earth,   2019-04-12T00:00:00.00, 201 32 54.6624, +00  0  4.0823,    1.002216198,  -3.86
Earth,   2019-04-13T00:00:00.00, 202 31 45.7532, +00  0  4.0945,    1.002493433,  -3.86
Earth,   2019-04-14T00:00:00.00, 203 30 34.5330, +00  0  4.1073,    1.002769913,  -3.86
Earth,   2019-04-15T00:00:00.00, 204 29 21.0157, +00  0  4.1288,    1.003045902,  -3.86
Earth,   2019-04-16T00:00:00.00, 205 28  5.2343, +00  0  4.1663,    1.003321658,  -3.86
Earth,   2019-04-17T00:00:00.00, 206 26 47.2408, +00  0  4.2265,    1.003597407,  -3.86
